idSite;NomSite;Typologie MTK;Adresse_Site;Code_postal;Ville;Nb_Heures;latitude;longitude;cluster
486;MARNAZ;BP;44 RUE DE LA MAIRIE;74460;MARNAZ;1.5;46.0603214;6.5262757;6
487;MEGEVE;BP;276 RUE DE LA POSTE;74120;MEGEVE;1.5;45.8555923;6.6163935;7
271;MENS;BP; RUE DU DOCTEUR SENEBIER;38710;MENS;1.5;44.8135906;5.7505047;2
488;MENTHON SAINT BERNARD;PI;5211 PARC FRANCOIS DE MENTHON;74290;MENTHON ST BERNARD;13.04611538;45.860886;6.188438;1
416;MERIBEL LES ALLUES;BP;9 PLACE MAURICE FRONT;73550;LES ALLUES;1.526923077;45.396864;6.566621;7
3;MEXIMIEUX BP;BP;7 PLACE LIEUTENANT GIRAUD;1800;MEXIMIEUX;1.5;45.904795;5.1923885;3
42;MEXIMIEUX CC;BP; RUE DES GRANGES;1800;MEXIMIEUX;1.5;45.8979064;5.2041589;3
223;MEYLAN CC;BP;39 BOULEVARD DES ALPES;38240;MEYLAN;2.074261538;45.2041206;5.7717413;2
272;MEYLAN VERCORS;BP;4 AVENUE DU VERCORS;38240;MEYLAN;1.5;45.209996;5.7778419;2
427;MEYTHET BUREAU DE POSTE;PDC;2 AVENUE DU STADE;74960;ANNECY;1.539230769;45.9158267;6.0912231;1
43;MEZERIAT;BP;41 PLACE DU MARCHE;1660;MEZERIAT;1.993838462;46.2343716;5.0475436;3
76;MIRIBEL;PDC;9003 RUE GENERAL DEGOUTTE;1700;MIRIBEL;1.5;45.8229807;4.9513608;5
394;MODANE HP;BP;38 AVENUE JEAN JAURES;73500;MODANE;1.595876923;45.1956377;6.6617712;7
232;MOIRANS;PDC; RUE CHATAGNON;38430;MOIRANS;1.843534615;45.3185369;5.5905646;2
273;MOIRANS;PDC;2 PLACE CHARLES DE GAULLE;38430;MOIRANS;1.843534615;45.3426467;5.5866987;2
274;MONESTIER DE CLERMONT;PDC;142 GRAND RUE;38650;MONESTIER DE CLERMONT;1.5;44.9165256;5.6345291;2
519;MONT SAXONNEX GAB;BP; RUE DE LA GORGE DU CE;74130;MONT SAXONNEX;1.5;46.0506052;6.4783618;6
275;MONTALIEU VERCIEU;BP;3 RUE DU BESSET;38390;MONTALIEU VERCIEU;1.048076923;45.8126179;5.4080838;5
276;MONTALIEU VERCIEU GARAGE;PDC;3 RUE DU BESSET;38390;MONTALIEU VERCIEU;1.5;45.8126179;5.4080838;5
277;MONTBONNOT ST MARTIN;BP;53 AVENUE JEAN KUNTZMANN;38330;MONTBONNOT ST MARTIN;0.0;45.2171365;5.8074594;2
247;MONTBONNOT-D3C;PDC;100 A ALLEE SAINT EXUPERY;38330;MONTBONNOT ST MARTIN;1.5;45.2189606;5.8081658;2
177;MONTELIER BPX;BP;11 AVENUE DU VERCORS;26120;MONTELIER;1.5;44.9353352;5.0410145;0
178;MONTELIMAR EUROPE;Hors MTK;2 PLACE DE L EUROPE;26200;MONTELIMAR;1.5;44.5563833;4.750507;4
146;MONTELIMAR PPDC;PDC; RUE EMILE MONIER;26200;MONTELIMAR;1.5;44.5235964;4.7415871;4
205;MONTELIMAR PRACOMPTAL BPX;BP; ALLEE MOLIERE;26200;MONTELIMAR;1.5;44.5540622;4.7216891;4
136;MONTELIMAR ST JAMES BPX;PI;54 AVENUE JEAN JAURES;26200;MONTELIMAR;1.5;44.5498274;4.7469863;4
44;MONTLUEL;BP;226 AVENUE DE LA GARE;1120;MONTLUEL;1.5;45.8497771;5.0573169;5
417;MONTMELIAN;BP; AVENUE GEORGES CLEMENCEAU;73800;MONTMELIAN;1.041;45.5022803;6.0527321;1
4;MONTMERLE SUR SAONE BP;BP;6 PLACE DE L EGLISE;1090;MONTMERLE SUR SAONE;1.5;46.080708;4.758637;3
179;MONTMEYRAN BPX;BP;5116 LE VILLAGE;26120;MONTMEYRAN;2.118107692;44.8346912;5.0153546;0
110;MONTPEZAT SOUS BAUZON;PDC;6000 QUARTIER LA PRADE;7560;MONTPEZAT SOUS BAUZON;1.148307692;44.711;4.20724;4
19;MONTREAL LA CLUSE;PDC;18 AVENUE DE BRESSE;1460;MONTREAL LA CLUSE;1.5;46.1716325;5.5743473;3
13;MONTREAL LA CLUSE PDC;PDC;104 AVENUE DE BRESSE;1460;MONTREAL LA CLUSE;1.5;46.173558;5.5676491;3
45;MONTREVEL EN BRESSE;BP;9 PLACE DU 3 SEPTEMBRE;1340;MONTREVEL EN BRESSE;1.5;46.3373228;5.130295;3
69;MONTREVEL EN BRESSE PDC;BP; AVENUE  DE MACON;1340;MONTREVEL EN BRESSE;2.464269231;46.3339232;5.1181425;3
279;MORESTEL;BP;21 CITE VERTE;38510;MORESTEL;2.115384615;45.6776633;5.4710761;5
526;MORZINE;BP;20 PLACE DE LA POSTE;74110;MORZINE;1.5;46.180348;6.7074797;6
180;MOURS SAINT EUSEBE;Hors MTK;2 RUE DU VIEUX FOUR;26540;MOURS ST EUSEBE;1.647692308;45.0710048;5.052117;0
418;MOUTIERS HP;BP;89 AVENUE DU 8 MAI 1945;73600;MOUTIERS TARENTAISE;1.1368;45.486523;6.529587;7
521;MUSIEGES COURRIER;BP; ZONE INDUSTRIELLE DES BONNETS;74270;MUSIEGES;1.5;46.013043;5.947299;1
18;NANTUA;BP;26 RUE DE L HOTEL DE VILLE;1130;NANTUA;11.67307692;46.154592;5.6054455;3
396;NOVALAISE BPX;BP;5310 ROUTE DU LAC;73470;NOVALAISE;1.707692308;45.5944165;5.7744177;1
181;NYONS;PDC;30 AVENUE HENRI ROCHIER;26110;NYONS;4.211034615;44.3621179;5.1337951;0
91;OLLIERES  (LES);PDC;103 ROUTE NATIONALE;7360;LES OLLIERES SUR EYRIEUX;1.5;44.8046991;4.6154284;4
77;OYONNAX;PDC;69 COURS DE VERDUN;1100;OYONNAX;1.5;46.25996;5.64764;3
461;PASSY SAINT GERVAIS;BP;370 avenue des Raches;74190;PASSY;1.699307692;45.9135956;6.7142037;7
284;PEAGE DE ROUSSILLON;BP;3 PLACE PAUL MORAND;38550;LE PEAGE DE ROUSSILLON;1.5;45.373159;4.79789;5
111;PEAUGRES BPX;BP; LE VILLAGE LES CHANTERELLES N7;7340;PEAUGRES;1.5;45.287265;4.7285863;0
46;PERONNAS;Hors MTK; ALLEE DE LA GRANGE MAGNIEN;1960;PERONNAS;1.5;46.1768403;5.2109471;3
269;PFC ALPES;BP;190 RUE DES BLACHES;38530;LA BUISSIERE;2.058407692;45.4238252;5.9934237;2
151;PIERRELATTE BP;BP; AVENUE JEAN PERRIN;26700;PIERRELATTE;2.448411538;44.3777497;4.6996127;4
140;PIERRELATTE CC;PDC; RUE DU CHAUDRON;26700;PIERRELATTE;10.93503846;44.362036;4.7116945;4
285;PIN;BP; PLACE SAINT CHRISTOPHE;38730;VILLAGES DU LAC DE PALADRU;1.635769231;45.4564687;5.5051314;2
467;POISY LA BALME-ANNECY OUEST PDC;BP; ROUTE DE VALPARC;74330;POISY;1.5;45.9150454;6.0825833;1
489;POISY VILLAGE;BP;53 PLACE DE L EGLISE;74330;POISY;4.423076923;45.922526;6.062549;1
74;PONCIN;BP;1 AVENUE DU PARC;1450;PONCIN;1.359769231;46.0856591;5.40571;3
47;PONT D AIN;PDC;8 RUE LOUISE DE SAVOIE;1160;PONT D AIN;1.5;46.0507469;5.3438181;3
287;PONT DE BEAUVOISIN;PDC;12 AV DR CHARLES GABRIEL PRAVAZ;38480;LE PONT DE BEAUVOISIN;4.56215;45.5359674;5.6704512;2
373;PONT DE BEAUVOISIN PDC;BP; AVENUE JEAN JAURES;73330;LE PONT DE BEAUVOISIN;1.514769231;45.5316152;5.6816514;2
